MatchType,ChancesCreated,SuccessfulPasses,DefensiveActions,Possession,FoulsCommitted,MatchResult
Group Stage Match Day 1,20,555,16,54,15,R Madrid 4-0 Shakhtar
Group Stage Match Day 2,12,740,32,67,12,Malmo FF 0-2 R Madrid
Group Stage Match Day 3,15,379,54,42,10,PSG 0-0 R Madrid
Group Stage Match Day 4,11,380,30,44,15,R Madrid 1-0 PSG
Group Stage Match Day 5,16,553,35,55,14,Shakhtar 3-4 R Madrid
Group Stage Match Day 6,24,593,25,57,5,R Madrid 8-0 Malmo FF
Round of 16 Leg 1,14,588,35,57,10,Roma 0-2 R Madrid
Round of 16 Leg 2,28,529,39,55,6,R Madrid 2-0 Roma
Quarter-finals Leg 1,15,554,19,55,8,Wolfsburg 2-0 R Madrid
Quarter-finals Leg 2,10,487,30,54,10,R Madrid 3-0 Wolfsburg
Semi-finals Leg 1,10,488,37,52,12,Man City 0-0 R Madrid
Semi-finals Leg 2,13,470,39,53,5,R Madrid 1-0 Man City
Final,20,478,72,48,17,R Madrid 1-1(5-3) Atletico
