MatchType,ChancesCreated,SuccessfulPasses,DefensiveActions,Possession,FoulsCommitted,MatchResult
Group Stage Match Day 1,18,285,25,55,8,Bayern 1-0 Man City
Group Stage Match Day 2,15,514,24,67,8,CSKA Moskva 0-1 Bayern
Group Stage Match Day 3,18,422,22,58,6,Roma 1-7 Bayern
Group Stage Match Day 4,19,415,24,64,11,Bayern 2-0 Roma
Group Stage Match Day 5,5,315,36,52,15,Man City 3-2 Bayern
Group Stage Match Day 6,19,410,22,63,5,Bayern 3-0 CSKA Moskva
Round of 16 Leg 1,7,312,30,58,20,Shakhtar 0-0 Bayern
Round of 16 Leg 2,20,367,37,66,15,Bayern 7-0 Shakhtar
Quarter-finals Leg 1,3,331,31,59,22,Porto 3-1 Bayern
Quarter-finals Leg 2,15,197,38,55,19,Bayern 6-1 Porto
Semi-finals Leg 1,5,293,44,53,14,Barcelona 3-0 Bayern
Semi-finals Leg 2,16,344,39,53,19,Bayern 3-2 Barcelona
