MatchType,ChancesCreated,SuccessfulPasses,DefensiveActions,Possession,FoulsCommitted,MatchResult
Group Stage Match Day 1,16,266,28,53,8,R Madrid 5-1 Basel
Group Stage Match Day 2,13,273,33,54,11,Ludogorets 1-2 Liverpool
Group Stage Match Day 3,10,352,56,51,6,Liverpool 0-3 R Madrid
Group Stage Match Day 4,22,346,35,57,8,R Madrid 1-0 Liverpool
Group Stage Match Day 5,6,186,46,51,12,FC Basel 0-1 R Madrid
Group Stage Match Day 6,27,322,35,57,8,R Madrid 4-0 Ludogorets
Round of 16 Leg 1,7,334,41,57,9,Schalke 0-2 R Madrid
Round of 16 Leg 2,13,258,52,47,4,R Madrid 3-4 Schalke
Quarter-finals Leg 1,9,224,55,56,11,Atletico 0-0 R Madrid
Quarter-finals Leg 2,19,242,53,60,15,R Madrid 1-0 Atletico
Semi-finals Leg 1,9,270,24,49,13,Juventus 2-1 R Madrid
Semi-finals Leg 2,18,305,41,54,10,R Madrid 1-1 Juventus
