MatchType,ChancesCreated,SuccessfulPasses,DefensiveActions,Possession,FoulsCommitted,MatchResult
Group Stage Match Day 1,11,298,15,48,20,Atletico 1-3 FC Zenit
Group Stage Match Day 2,10,245,53,44,10,Porto 2-1 Atletico
Group Stage Match Day 3,11,479,59,52,10,Austria Wien 0-3 Atletico
Group Stage Match Day 4,16,508,27,59,7,Atletico 4-0 Austria Wien
Group Stage Match Day 5,8,224,69,43,16,Zenit 1-1 Atletico
Group Stage Match Day 6,6,156,70,42,21,Atletico 2-0 FC Porto
Round of 16 Leg 1,8,303,42,47,15,Milan 0-1 Atlético
Round of 16 Leg 2,13,341,36,48,10,Atletico 1-4 AC Milan
Quarter-finals Leg 1,2,196,53,37,24,Barcelona 1-1 Atletico
Quarter-finals Leg 2,12,163,62,40,15,Atletico 1-0 FC Barcelona
Semi-finals Leg 1,22,421,26,59,13,Atletico 0-0 Chelsea
Semi-finals Leg 2,7,354,57,50,18,Chelsea 3-1 Atletico
Final,8,237,71,42,21,R Madrid 4-1 Atletico
